ArrayTaskID,inertia_values,freq_bounds,failure_modes,beta,k,N_nodes,K,gamma,tau,alpha,init_pert,sigma,mu,graph_seed,distr_seed,filepath,ensemble_element
1,0.2,0.02,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
2,0.7,0.02,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
3,0.2,0.08,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
4,0.7,0.08,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
5,0.2,0.02,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
6,0.7,0.02,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
7,0.2,0.08,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
8,0.7,0.08,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
9,0.2,0.02,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
10,0.7,0.02,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
11,0.2,0.08,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
12,0.7,0.08,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,1,1,<filepath>,1
13,0.2,0.02,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
14,0.7,0.02,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
15,0.2,0.08,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
16,0.7,0.08,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
17,0.2,0.02,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
18,0.7,0.02,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
19,0.2,0.08,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
20,0.7,0.08,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
21,0.2,0.02,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
22,0.7,0.02,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
23,0.2,0.08,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
24,0.7,0.08,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,5,5,<filepath>,1
25,0.2,0.02,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
26,0.7,0.02,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
27,0.2,0.08,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
28,0.7,0.08,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
29,0.2,0.02,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
30,0.7,0.02,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
31,0.2,0.08,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
32,0.7,0.08,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
33,0.2,0.02,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
34,0.7,0.02,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
35,0.2,0.08,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
36,0.7,0.08,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,6,6,<filepath>,1
37,0.2,0.02,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
38,0.7,0.02,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
39,0.2,0.08,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
40,0.7,0.08,"[:dynamic, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
41,0.2,0.02,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
42,0.7,0.02,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
43,0.2,0.08,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
44,0.7,0.08,"[:dynamic, :none]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
45,0.2,0.02,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
46,0.7,0.02,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
47,0.2,0.08,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
48,0.7,0.08,"[:none, :dynamic]",0.1,4,100,6,1,1,0.7,line,1,0,7,7,<filepath>,2
49,0.2,0.02,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
50,0.7,0.02,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
51,0.2,0.08,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
52,0.7,0.08,"[:dynamic, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
53,0.2,0.02,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
54,0.7,0.02,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
55,0.2,0.08,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
56,0.7,0.08,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
57,0.2,0.02,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
58,0.7,0.02,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
59,0.2,0.08,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
60,0.7,0.08,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>,2
61,0.2,0.02,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
62,0.7,0.02,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
63,0.2,0.08,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
64,0.7,0.08,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
65,0.2,0.02,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
66,0.7,0.02,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
67,0.2,0.08,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
68,0.7,0.08,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
69,0.2,0.02,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
70,0.7,0.02,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
71,0.2,0.08,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
72,0.7,0.08,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>,2
